#: RE			Photon-jet pT balance in 30-50%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			79.6 - 100 GeV				
#: Centrality			30-50%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 30-50%	stat +	stat -	sys +	sys -
0.422395	0.39811	0.44668	0.89256	0.10815	-0.10815	0.09748	-0.09748
0.473935	0.44668	0.50119	0.86896	0.09043	-0.09043	0.07227	-0.07227
0.531765	0.50119	0.56234	0.87256	0.08215	-0.08215	0.07031	-0.07031
0.59665	0.56234	0.63096	0.88546	0.08126	-0.08126	0.04106	-0.04106
0.669455	0.63096	0.70795	0.89785	0.08038	-0.08038	0.03692	-0.03692
0.75114	0.70795	0.79433	0.94594	0.08094	-0.08094	0.0406	-0.0406
0.84279	0.79433	0.89125	1.09067	0.08915	-0.08915	0.04397	-0.04397
0.945625	0.89125	1	1.0946	0.0964	-0.0964	0.11483	-0.11483
1.06101	1	1.12202	0.50094	0.05958	-0.05958	0.06503	-0.06503
1.190475	1.12202	1.25893	0.19021	0.0325	-0.0325	0.04531	-0.04531
1.335735	1.25893	1.41254	0.1212	0.02578	-0.02578	0.04846	-0.04846
1.498715	1.41254	1.58489	0.09035	0.02233	-0.02233	0.03077	-0.03077
1.681585	1.58489	1.77828	0.03721	0.01379	-0.01379	0.01066	-0.01066
1.88677	1.77828	1.99526	0.00717	0.00489	-0.00489	0.00197	-0.00197

