#: RE			Photon-jet pT balance in 10-20%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			79.6 - 100 GeV				
#: Centrality			10-20%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 10-20%	stat +	stat -	sys +	sys -
0.422395	0.39811	0.44668	1.01663	0.14512	-0.14512	0.17064	-0.17064
0.473935	0.44668	0.50119	0.92047	0.10437	-0.10437	0.10671	-0.10671
0.531765	0.50119	0.56234	0.88544	0.08191	-0.08191	0.08693	-0.08693
0.59665	0.56234	0.63096	0.8452	0.07144	-0.07144	0.03864	-0.03864
0.669455	0.63096	0.70795	0.83301	0.0683	-0.0683	0.03704	-0.03704
0.75114	0.70795	0.79433	0.8312	0.06765	-0.06765	0.06131	-0.06131
0.84279	0.79433	0.89125	0.83906	0.07096	-0.07096	0.05466	-0.05466
0.945625	0.89125	1	0.75086	0.07353	-0.07353	0.09253	-0.09253
1.06101	1	1.12202	0.36681	0.0489	-0.0489	0.04743	-0.04743
1.190475	1.12202	1.25893	0.15653	0.02906	-0.02906	0.02667	-0.02667
1.335735	1.25893	1.41254	0.09629	0.02408	-0.02408	0.02049	-0.02049
1.498715	1.41254	1.58489	0.06081	0.01924	-0.01924	0.01368	-0.01368
1.681585	1.58489	1.77828	0.03	0.01304	-0.01304	0.0072	-0.0072
1.88677	1.77828	1.99526	0.00873	0.00635	-0.00635	0.00287	-0.00287

