#: RE			Photon-jet pT balance in 20-30%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			79.6 - 100 GeV				
#: Centrality			20-30%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 20-30%	stat +	stat -	sys +	sys -
0.422395	0.39811	0.44668	1.07867	0.1354	-0.1354	0.14372	-0.14372
0.473935	0.44668	0.50119	0.92629	0.10229	-0.10229	0.0935	-0.0935
0.531765	0.50119	0.56234	0.85784	0.08492	-0.08492	0.07986	-0.07986
0.59665	0.56234	0.63096	0.84285	0.08	-0.08	0.06841	-0.06841
0.669455	0.63096	0.70795	0.93819	0.08005	-0.08005	0.0615	-0.0615
0.75114	0.70795	0.79433	1.03204	0.0857	-0.0857	0.03329	-0.03329
0.84279	0.79433	0.89125	1.08308	0.09031	-0.09031	0.06722	-0.06722
0.945625	0.89125	1	1.08524	0.10089	-0.10089	0.10916	-0.10916
1.06101	1	1.12202	0.52864	0.06267	-0.06267	0.07044	-0.07044
1.190475	1.12202	1.25893	0.17799	0.03068	-0.03068	0.02809	-0.02809
1.335735	1.25893	1.41254	0.07896	0.02272	-0.02272	0.01896	-0.01896
1.498715	1.41254	1.58489	0.02815	0.01481	-0.01481	0.01175	-0.01175
1.681585	1.58489	1.77828	0.00507	0.00636	-0.00636	0.00168	-0.00168
1.88677	1.77828	1.99526	0.00356	0.00467	-0.00467	0.00121	-0.00121

