#: RE			Photon-jet pT balance in 50-80%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			79.6 - 100 GeV				
#: Centrality			50-80%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 50-80%	stat +	stat -	sys +	sys -
0.422395	0.39811	0.44668	0.82307	0.18702	-0.18702	0.10168	-0.10168
0.473935	0.44668	0.50119	0.74724	0.15408	-0.15408	0.08161	-0.08161
0.531765	0.50119	0.56234	0.76036	0.14082	-0.14082	0.08635	-0.08635
0.59665	0.56234	0.63096	0.91074	0.15206	-0.15206	0.10985	-0.10985
0.669455	0.63096	0.70795	1.09768	0.16784	-0.16784	0.08766	-0.08766
0.75114	0.70795	0.79433	1.20061	0.16618	-0.16618	0.1001	-0.1001
0.84279	0.79433	0.89125	1.29257	0.17093	-0.17093	0.17416	-0.17416
0.945625	0.89125	1	1.28468	0.18635	-0.18635	0.18962	-0.18962
1.06101	1	1.12202	0.64253	0.13227	-0.13227	0.08018	-0.08018
1.190475	1.12202	1.25893	0.25278	0.07321	-0.07321	0.08265	-0.08265
1.335735	1.25893	1.41254	0.13295	0.05419	-0.05419	0.04283	-0.04283
1.498715	1.41254	1.58489	0.09113	0.04621	-0.04621	0.01847	-0.01847
1.681585	1.58489	1.77828	0.05873	0.02595	-0.02595	0.00605	-0.00605
1.88677	1.77828	1.99526	0.03469	0.02044	-0.02044	0.00545	-0.00545

