2.7054e+01	5.9626e-02
3.1499e+01	2.9830e-02
3.6674e+01	1.4951e-02
4.2700e+01	6.9946e-03
4.9716e+01	3.2934e-03
5.7885e+01	1.5029e-03
6.7395e+01	6.8413e-04
7.8469e+01	3.0807e-04
9.1362e+01	1.3378e-04
1.0637e+02	5.6779e-05
1.2385e+02	2.3921e-05
1.4420e+02	9.7878e-06
1.6789e+02	3.9450e-06
1.9548e+02	1.5744e-06
2.2760e+02	6.0431e-07
2.6499e+02	2.2503e-07
3.0853e+02	8.0054e-08
3.5923e+02	2.8337e-08
4.1825e+02	9.5793e-09
4.6000e+02	4.5320e-09
5.0679e+02	2.2237e-09
5.8036e+02	7.3667e-10
6.5393e+02	2.6706e-10
7.2750e+02	1.0243e-10
8.0107e+02	4.1411e-11
8.7464e+02	1.6695e-11
9.4821e+02	6.9924e-12
1.0218e+03	3.0106e-12
1.0954e+03	1.2684e-12
1.1689e+03	5.5846e-13
1.2425e+03	2.2640e-13
1.3161e+03	9.6483e-14
1.3896e+03	3.7936e-14
1.4632e+03	1.4838e-14
