#: RE			Photon-jet pT balance in 50-80%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			100 - 158 GeV				
#: Centrality			50-80%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 50-80%	stat +	stat -	sys +	sys -
0.33552	0.31623	0.35481	0.64338	0.32848	-0.32848	0.17791	-0.17791
0.37646	0.35481	0.39811	0.63588	0.26096	-0.26096	0.17173	-0.17173
0.422395	0.39811	0.44668	0.71862	0.27452	-0.27452	0.12777	-0.12777
0.473935	0.44668	0.50119	0.63963	0.25362	-0.25362	0.10798	-0.10798
0.531765	0.50119	0.56234	0.498	0.21365	-0.21365	0.09621	-0.09621
0.59665	0.56234	0.63096	0.52016	0.1707	-0.1707	0.09857	-0.09857
0.669455	0.63096	0.70795	0.78652	0.2434	-0.2434	0.17273	-0.17273
0.75114	0.70795	0.79433	0.91019	0.27474	-0.27474	0.25326	-0.25326
0.84279	0.79433	0.89125	1.29204	0.30477	-0.30477	0.30009	-0.30009
0.945625	0.89125	1	1.96174	0.3565	-0.3565	0.19236	-0.19236
1.06101	1	1.12202	1.08292	0.24463	-0.24463	0.13681	-0.13681
1.190475	1.12202	1.25893	0.35712	0.12411	-0.12411	0.05078	-0.05078
1.335735	1.25893	1.41254	0.17222	0.07162	-0.07162	0.03036	-0.03036
1.498715	1.41254	1.58489	0.08518	0.04968	-0.04968	0.01612	-0.01612
1.681585	1.58489	1.77828	0.10158	0.05802	-0.05802	0.01523	-0.01523
1.88677	1.77828	1.99526	0.02525	0.014	-0.014	0.011	-0.011
							

