							
#: RE			Photon-jet pT balance in 20-30%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			100 - 158 GeV				
#: Centrality			20-30%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 20-30%	stat +	stat -	sys +	sys -
0.33552	0.31623	0.35481	1.09011	0.18034	-0.18034	0.12435	-0.12435
0.37646	0.35481	0.39811	0.95385	0.13122	-0.13122	0.09008	-0.09008
0.422395	0.39811	0.44668	0.85663	0.10891	-0.10891	0.07407	-0.07407
0.473935	0.44668	0.50119	0.77665	0.09549	-0.09549	0.0491	-0.0491
0.531765	0.50119	0.56234	0.80777	0.09883	-0.09883	0.08386	-0.08386
0.59665	0.56234	0.63096	0.88495	0.10023	-0.10023	0.05598	-0.05598
0.669455	0.63096	0.70795	0.9643	0.10343	-0.10343	0.04688	-0.04688
0.75114	0.70795	0.79433	1.05446	0.10817	-0.10817	0.04036	-0.04036
0.84279	0.79433	0.89125	1.11983	0.11097	-0.11097	0.07233	-0.07233
0.945625	0.89125	1	1.25895	0.13364	-0.13364	0.08039	-0.08039
1.06101	1	1.12202	0.63196	0.08442	-0.08442	0.07029	-0.07029
1.190475	1.12202	1.25893	0.23286	0.04399	-0.04399	0.02731	-0.02731
1.335735	1.25893	1.41254	0.1397	0.03374	-0.03374	0.03633	-0.03633
1.498715	1.41254	1.58489	0.07731	0.02342	-0.02342	0.02539	-0.02539
1.681585	1.58489	1.77828	0.02532	0.01277	-0.01277	0.00965	-0.00965
1.88677	1.77828	1.99526	0.00366	0.00304	-0.00304	0.00389	-0.00389
							

