#: RE			Photon-jet pT balance in 10-20%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			100 - 158 GeV				
#: Centrality			10-20%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 10-20%	stat +	stat -	sys +	sys -
0.33552	0.31623	0.35481	1.26726	0.19856	-0.19856	0.17374	-0.17374
0.37646	0.35481	0.39811	1.09873	0.13984	-0.13984	0.11202	-0.11202
0.422395	0.39811	0.44668	1.00728	0.11005	-0.11005	0.09677	-0.09677
0.473935	0.44668	0.50119	0.97849	0.10018	-0.10018	0.06822	-0.06822
0.531765	0.50119	0.56234	0.99865	0.0994	-0.0994	0.04538	-0.04538
0.59665	0.56234	0.63096	1.0263	0.09705	-0.09705	0.05579	-0.05579
0.669455	0.63096	0.70795	1.08528	0.09777	-0.09777	0.06326	-0.06326
0.75114	0.70795	0.79433	1.04497	0.09386	-0.09386	0.06181	-0.06181
0.84279	0.79433	0.89125	1.03123	0.09462	-0.09462	0.05446	-0.05446
0.945625	0.89125	1	0.93575	0.10107	-0.10107	0.0754	-0.0754
1.06101	1	1.12202	0.43144	0.06297	-0.06297	0.06538	-0.06538
1.190475	1.12202	1.25893	0.20286	0.04166	-0.04166	0.03876	-0.03876
1.335735	1.25893	1.41254	0.09845	0.02878	-0.02878	0.02655	-0.02655
1.498715	1.41254	1.58489	0.04695	0.01784	-0.01784	0.009	-0.009
1.681585	1.58489	1.77828	0.03351	0.01471	-0.01471	0.00681	-0.00681
1.88677	1.77828	1.99526	0.01529	0.00796	-0.00796	0.00428	-0.00428
	
