							
#: RE			Photon-jet pT balance in 50-80%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			158 - 200 GeV				
#: Centrality			50-80%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 50-80%	stat +	stat -	sys +	sys -
0.22536	0.19953	0.25119	1.50014	1.01585	-1.01585	0.4863	-0.4863
0.28371	0.25119	0.31623	0.25556	0.5984	-0.5984	0.16415	-0.16415
0.35717	0.31623	0.39811	0.55359	0.53673	-0.53673	0.16357	-0.16357
0.44965	0.39811	0.50119	1.13046	0.58057	-0.58057	0.20469	-0.20469
0.566075	0.50119	0.63096	0.7519	0.6435	-0.6435	0.12898	-0.12898
0.712645	0.63096	0.79433	1.08697	0.71584	-0.71584	0.20954	-0.20954
0.897165	0.79433	1	1.36583	0.64997	-0.64997	0.22568	-0.22568
1.129465	1	1.25893	0.41639	0.33471	-0.33471	0.24016	-0.24016
1.42191	1.25893	1.58489	0.15521	0.16067	-0.16067	0.04421	-0.04421
1.790075	1.58489	1.99526	2E-05	2E-05	-2E-05	6E-05	-6E-05

