							
#: RE			Photon-jet pT balance in 20-30%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			158 - 200 GeV				
#: Centrality			20-30%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 20-30%	stat +	stat -	sys +	sys -
0.22536	0.19953	0.25119	1.2359	0.38974	-0.38974	0.20041	-0.20041
0.28371	0.25119	0.31623	0.77231	0.21726	-0.21726	0.10566	-0.10566
0.35717	0.31623	0.39811	0.52655	0.17205	-0.17205	0.07571	-0.07571
0.44965	0.39811	0.50119	0.49995	0.17128	-0.17128	0.09621	-0.09621
0.566075	0.50119	0.63096	1.00241	0.21703	-0.21703	0.11649	-0.11649
0.712645	0.63096	0.79433	1.37913	0.24784	-0.24784	0.06203	-0.06203
0.897165	0.79433	1	1.47032	0.26374	-0.26374	0.11863	-0.11863
1.129465	1	1.25893	0.35475	0.11039	-0.11039	0.09632	-0.09632
1.42191	1.25893	1.58489	0.05424	0.04023	-0.04023	0.01666	-0.01666
1.790075	1.58489	1.99526	0.00016	0.0001	-0.0001	0.03096	-0.03096
	
