#: RE			Photon-jet pT balance in 0-10%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			158 - 200 GeV				
#: Centrality			0-10%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 0-10%	stat +	stat -	sys +	sys -
0.22536	0.19953	0.25119	0.63937	0.65639	-0.65639	0.19814	-0.19814
0.28371	0.25119	0.31623	0.99404	0.49086	-0.49086	0.17611	-0.17611
0.35717	0.31623	0.39811	1.54056	0.38558	-0.38558	0.295	-0.295
0.44965	0.39811	0.50119	1.53854	0.3443	-0.3443	0.12478	-0.12478
0.566075	0.50119	0.63096	0.93612	0.25463	-0.25463	0.04865	-0.04865
0.712645	0.63096	0.79433	0.6676	0.19564	-0.19564	0.06646	-0.06646
0.897165	0.79433	1	1.52554	0.30521	-0.30521	0.07858	-0.07858
1.129465	1	1.25893	0.39362	0.15513	-0.15513	0.1129	-0.1129
1.42191	1.25893	1.58489	0.03016	0.05307	-0.05307	0.02477	-0.02477
1.790075	1.58489	1.99526	0.00047	0.00144	-0.00144	0.0005	-0.0005

