#: RE			Photon-jet pT balance in 20-30%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			63.1 - 79.6 GeV				
#: Centrality			20-30%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 20-30%	stat +	stat -	sys +	sys -
0.531765	0.50119	0.56234	1.00627	0.06301	-0.06301	0.13052	-0.13052
0.59665	0.56234	0.63096	0.89342	0.0481	-0.0481	0.08526	-0.08526
0.669455	0.63096	0.70795	0.82577	0.03961	-0.03961	0.07788	-0.07788
0.75114	0.70795	0.79433	0.81659	0.03867	-0.03867	0.08692	-0.08692
0.84279	0.79433	0.89125	0.81842	0.03991	-0.03991	0.06478	-0.06478
0.945625	0.89125	1	0.74472	0.04064	-0.04064	0.10956	-0.10956
1.06101	1	1.12202	0.42462	0.02876	-0.02876	0.07136	-0.07136
1.190475	1.12202	1.25893	0.20091	0.01742	-0.01742	0.04524	-0.04524
1.335735	1.25893	1.41254	0.11056	0.01274	-0.01274	0.02137	-0.02137
1.498715	1.41254	1.58489	0.06344	0.00963	-0.00963	0.01214	-0.01214
1.681585	1.58489	1.77828	0.03521	0.00693	-0.00693	0.00624	-0.00624
1.88677	1.77828	1.99526	0.02054	0.00516	-0.00516	0.00256	-0.00256
	
