#: RE			Photon-jet pT balance in 10-20%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			63.1 - 79.6 GeV				
#: Centrality			10-20%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 10-20%	stat +	stat -	sys +	sys -
0.531765	0.50119	0.56234	1.00532	0.07852	-0.07852	0.19818	-0.19818
0.59665	0.56234	0.63096	0.88816	0.0571	-0.0571	0.08286	-0.08286
0.669455	0.63096	0.70795	0.7916	0.04368	-0.04368	0.08746	-0.08746
0.75114	0.70795	0.79433	0.73981	0.03993	-0.03993	0.07876	-0.07876
0.84279	0.79433	0.89125	0.74594	0.04303	-0.04303	0.08211	-0.08211
0.945625	0.89125	1	0.69097	0.04442	-0.04442	0.07896	-0.07896
1.06101	1	1.12202	0.38637	0.03131	-0.03131	0.07672	-0.07672
1.190475	1.12202	1.25893	0.17537	0.01878	-0.01878	0.04571	-0.04571
1.335735	1.25893	1.41254	0.09299	0.01425	-0.01425	0.02318	-0.02318
1.498715	1.41254	1.58489	0.05197	0.01107	-0.01107	0.01413	-0.01413
1.681585	1.58489	1.77828	0.03127	0.00841	-0.00841	0.00762	-0.00762
1.88677	1.77828	1.99526	0.01908	0.00598	-0.00598	0.00336	-0.00336
							


