#: RE			Photon-jet pT balance in 30-50%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			63.1 - 79.6 GeV				
#: Centrality			30-50%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 30-50%	stat +	stat -	sys +	sys -
0.531765	0.50119	0.56234	0.95207	0.06172	-0.06172	0.11805	-0.11805
0.59665	0.56234	0.63096	0.87575	0.05004	-0.05004	0.11019	-0.11019
0.669455	0.63096	0.70795	0.83455	0.04471	-0.04471	0.0831	-0.0831
0.75114	0.70795	0.79433	0.8496	0.04469	-0.04469	0.0649	-0.0649
0.84279	0.79433	0.89125	0.86952	0.04845	-0.04845	0.07016	-0.07016
0.945625	0.89125	1	0.81896	0.05137	-0.05137	0.0945	-0.0945
1.06101	1	1.12202	0.4607	0.03597	-0.03597	0.07481	-0.07481
1.190475	1.12202	1.25893	0.20298	0.02059	-0.02059	0.0377	-0.0377
1.335735	1.25893	1.41254	0.10226	0.01411	-0.01411	0.02515	-0.02515
1.498715	1.41254	1.58489	0.05166	0.01031	-0.01031	0.01123	-0.01123
1.681585	1.58489	1.77828	0.02809	0.00735	-0.00735	0.00442	-0.00442
1.88677	1.77828	1.99526	0.01937	0.00532	-0.00532	0.00369	-0.00369

