# x xl xh y sys+/- stat+/-
84	79	89	0.606	0.008	-0.007	0.006	-0.006
94.5	89	100	0.62	0.008	-0.007	0.007	-0.007
106	100	112	0.647	0.008	-0.008	0.004	-0.004
118.5	112	125	0.672	0.008	-0.009	0.005	-0.005
133	125	141	0.692	0.008	-0.009	0.005	-0.005
149.5	141	158	0.711	0.008	-0.008	0.006	-0.006
167.5	158	177	0.725	0.008	-0.008	0.007	-0.007
188	177	199	0.737	0.009	-0.009	0.009	-0.009
211	199	223	0.754	0.009	-0.009	0.012	-0.012
237	223	251	0.782	0.01	-0.01	0.017	-0.017
283.5	251	316	0.778	0.009	-0.009	0.018	-0.018
357	316	398	0.76	0.01	-0.01	0.04	-0.04
514	398	630	0.74	0.01	-0.01	0.07	-0.07


