# x xl xh y sys+/- stat+/-
84	79	89	0.538	0.01	-0.01	0.005	-0.005
94.5	89	100	0.562	0.01	-0.01	0.005	-0.005
106	100	112	0.5769	0.01	-0.0099	0.0035	-0.0035
118.5	112	125	0.598	0.009	-0.009	0.004	-0.004
133	125	141	0.617	0.009	-0.009	0.004	-0.004
149.5	141	158	0.627	0.009	-0.01	0.005	-0.005
167.5	158	177	0.645	0.01	-0.01	0.005	-0.005
188	177	199	0.671	0.01	-0.01	0.007	-0.007
211	199	223	0.683	0.011	-0.011	0.009	-0.009
237	223	251	0.702	0.011	-0.011	0.012	-0.012
266	251	281	0.723	0.012	-0.012	0.016	-0.016
298.5	281	316	0.748	0.013	-0.013	0.023	-0.023
357	316	398	0.717	0.012	-0.013	0.027	-0.027
514	398	630	0.8	0.01	-0.01	0.05	-0.05

