# x xl xh y sys+/- stat+/-
53	50	56	0.821	0.027	-0.03	0.016	-0.016
59.5	56	63	0.853	0.021	-0.024	0.019	-0.019
66.5	63	70	0.875	0.018	-0.019	0.023	-0.023
74.5	70	79	0.86	0.018	-0.017	0.028	-0.028
84	79	89	0.857	0.016	-0.014	0.034	-0.034
94.5	89	100	0.88	0.01	-0.01	0.04	-0.04
106	100	112	0.907	0.007	-0.011	0.019	-0.019
118.5	112	125	0.905	0.009	-0.01	0.02	-0.02
133	125	141	0.917	0.01	-0.011	0.022	-0.022
149.5	141	158	0.933	0.008	-0.009	0.028	-0.028
167.5	158	177	0.926	0.008	-0.008	0.035	-0.035
188	177	199	0.9	0.01	-0.01	0.04	-0.04
225	199	251	0.96	0.01	-0.01	0.05	-0.05

