# x xl xh y sys+/- stat+/-
53	50	56	0.702	0.023	-0.024	0.007	-0.007
59.5	56	63	0.723	0.022	-0.022	0.008	-0.008
66.5	63	70	0.75	0.02	-0.02	0.009	-0.009
74.5	70	79	0.781	0.012	-0.012	0.012	-0.012
84	79	89	0.791	0.005	-0.005	0.014	-0.014
94.5	89	100	0.793	0.004	-0.004	0.016	-0.016
106	100	112	0.802	0.006	-0.005	0.009	-0.009
118.5	112	125	0.815	0.006	-0.006	0.009	-0.009
133	125	141	0.85	0.01	-0.01	0.01	-0.01
149.5	141	158	0.862	0.005	-0.008	0.012	-0.012
167.5	158	177	0.86	0.007	-0.008	0.014	-0.014
188	177	199	0.873	0.009	-0.009	0.019	-0.019
225	199	251	0.884	0.005	-0.005	0.02	-0.02
324.5	251	398	0.96	0	0	0.04	-0.04


