# x xl xh y sys+/- stat+/-
106	100	112	0.4381	0.012	-0.0115	0.0019	-0.0019
118.5	112	125	0.4633	0.012	-0.0119	0.002	-0.002
133	125	141	0.4847	0.012	-0.0123	0.0022	-0.0022
149.5	141	158	0.5023	0.0118	-0.0121	0.0026	-0.0026
167.5	158	177	0.5151	0.0116	-0.0116	0.0029	-0.0029
188	177	199	0.535	0.012	-0.012	0.004	-0.004
211	199	223	0.557	0.014	-0.014	0.005	-0.005
237	223	251	0.572	0.015	-0.015	0.007	-0.007
266	251	281	0.561	0.015	-0.015	0.009	-0.009
298.5	281	316	0.563	0.015	-0.015	0.012	-0.012
335	316	354	0.589	0.017	-0.017	0.018	-0.018
376	354	398	0.589	0.018	-0.018	0.026	-0.026
449.5	398	501	0.593	0.016	-0.016	0.031	-0.031
565.5	501	630	0.56	0.02	-0.02	0.06	-0.06
814.5	630	999	0.62	0.02	-0.02	0.16	-0.16

