# x xl xh y sys+/- stat+/-
53	50	56	0.612	0.019	-0.021	0.005	-0.005
59.5	56	63	0.64	0.013	-0.014	0.006	-0.006
66.5	63	70	0.661	0.012	-0.012	0.007	-0.007
74.5	70	79	0.682	0.011	-0.011	0.008	-0.008
84	79	89	0.702	0.01	-0.009	0.01	-0.01
94.5	89	100	0.733	0.009	-0.009	0.011	-0.011
106	100	112	0.738	0.009	-0.008	0.007	-0.007
118.5	112	125	0.744	0.008	-0.008	0.007	-0.007
133	125	141	0.766	0.008	-0.008	0.007	-0.007
149.5	141	158	0.784	0.007	-0.008	0.009	-0.009
167.5	158	177	0.776	0.008	-0.008	0.01	-0.01
188	177	199	0.801	0.009	-0.009	0.013	-0.013
225	199	251	0.836	0.007	-0.007	0.014	-0.014
324.5	251	398	0.848	0.008	-0.007	0.023	-0.023


