# x xl xh y sys+/- stat+/-
106	100	112	0.5047	0.0109	-0.011	0.0024	-0.0024
118.5	112	125	0.5279	0.0106	-0.0109	0.0025	-0.0025
133	125	141	0.5506	0.0109	-0.0111	0.0028	-0.0028
149.5	141	158	0.5702	0.0108	-0.0109	0.0033	-0.0033
167.5	158	177	0.586	0.011	-0.011	0.004	-0.004
188	177	199	0.595	0.011	-0.011	0.005	-0.005
211	199	223	0.614	0.012	-0.012	0.006	-0.006
237	223	251	0.65	0.014	-0.014	0.009	-0.009
266	251	281	0.648	0.014	-0.014	0.012	-0.012
298.5	281	316	0.64	0.014	-0.014	0.017	-0.017
357	316	398	0.682	0.015	-0.015	0.02	-0.02
514	398	630	0.66	0.01	-0.01	0.04	-0.04
